"datetime","Behaviour_ind","Behaviour","AccX","AccY","AccZ","Depth","DBA","Latitude","Longitude"
"2019-04-19 03:20:00",4,"Resting",0,0,0,3.9863783838,0,5.8389,-53.8873
"2019-04-19 03:20:00",4,"Resting",0,0,0,4.3691453949,0,5.853,-53.893
"2019-04-19 03:20:00",4,"Resting",0,0,0,1.391031333,0,5.8685,-53.8754
"2019-04-19 03:20:00",4,"Resting",0,0,0,2.6420259546,0,5.8731,-53.8782
"2019-04-19 03:20:00",4,"Resting",0,0,0,1.8391488094,0,5.8875,-53.8751
"2019-04-19 03:20:00",4,"Resting",0,0,0,2.5580039278,0,5.8847,-53.8724
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.8100700082,0,5.9047,-53.8848
"2019-04-19 03:20:00",2,"Breathing",0,0,0,6.7310979268,0,5.8968,-53.8834
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.3192521146,0,5.9061,-53.8847
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.0847861368,0,5.8921,-53.8841
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.9167420831,0,5.7678,-53.9282
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.8327200563,0,5.7689,-53.9289
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.6740117834,0,5.8083,-53.8974
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.5433108528,0,5.8131,-53.9029
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.5993255373,0,5.82,-53.8877
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.0765218149,0,5.8464,-53.8901
"2019-04-19 03:20:00",2,"Breathing",0,0,0,6.9644924458,0,5.8567,-53.8856
"2019-04-19 03:20:00",2,"Breathing",0,0,0,6.8524630767,0,5.8585,-53.8868
"2019-04-19 03:20:00",2,"Breathing",0,0,0,6.7964483921,0,5.8621,-53.8867
"2019-04-19 03:20:00",2,"Breathing",0,0,0,6.992499788,0,5.8683,-53.8852
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.0485144726,0,5.8747,-53.8838
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.1792154032,0,5.8764,-53.8887
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.3472594569,0,5.8704,-53.8958
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.5059677298,0,5.8753,-53.8831
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.6740117834,0,5.786,-53.8964
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.8420558371,0,5.8281,-53.873
"2019-04-19 03:20:00",2,"Breathing",0,0,0,0.5881541877,0,5.8569,-53.851
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.1501366021,0,5.8599,-53.8757
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.3181806557,0,5.8679,-53.8817
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.5048962709,0,5.8912,-53.863
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.1127934791,0,5.8993,-53.8652
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.3275164365,0,5.9012,-53.8621
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.4395458056,0,5.9013,-53.8634
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.579582517,0,6.0557,-53.944
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.9260778639,0,6.059,-53.9649
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.5142320517,0,6.0717,-53.9648
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.5515751747,0,6.0782,-53.9694
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.5982540785,0,6.0747,-53.969
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.6262614208,0,6.0795,-53.9722
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.4955604902,0,6.0694,-53.9728
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.5142320517,0,6.0638,-53.9673
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.4582173671,0,6.066,-53.9699
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.4768889286,0,6.0643,-54.0011
"2019-04-19 03:20:00",3,"Swiming",0,0,0,8.5889182977,0,6.0501,-53.9882
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.3928669018,0,6.0624,-53.9888
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.2621659712,0,6.055,-53.9716
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.9074063024,0,6.0627,-53.976
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.0474430137,0,6.0763,-53.9613
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.9447494254,0,6.079,-53.9525
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.8140484948,0,6.085,-53.9478
"2019-04-19 03:20:00",2,"Breathing",0,0,0,3.1648296771,0,6.0966,-53.9423
"2019-04-19 03:20:00",2,"Breathing",0,0,0,8.0194356715,0,6.094,-53.9435
"2019-04-19 03:20:00",2,"Breathing",0,0,0,7.6273328796,0,6.0944,-53.9429
"2019-04-19 03:20:00",2,"Breathing",0,0,0,2.7540553237,0,6.1042,-53.9384
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.511325024,0,6.0999,-53.9314
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.7737983441,0,6.102,-53.9343
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.2125800397,0,6.0648,-53.9243
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.5310680443,0,6.039,-53.9045
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.8391488094,0,6.0486,-53.8945
"2019-04-19 03:20:00",5,"Feeding",0,0,0,2.1752369167,0,6.0579,-53.8842
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.9605139592,0,6.051,-53.9041
"2019-04-19 03:20:00",5,"Feeding",0,0,0,1.8671561516,0,6.0676,-53.8985
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.1845726974,0,6.0758,-53.8825
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.2219158205,0,6.0625,-53.884
"2019-04-19 03:20:00",1,"Gliding",0,0,0,1.9044992747,0,6.0788,-53.8496
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.9501067196,0,6.0804,-53.8578
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.1659011359,0,6.0859,-53.8369
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.4833176817,0,6.0133,-53.838
"2019-04-19 03:20:00",1,"Gliding",0,0,0,2.2032442589,0,6.0117,-53.8014
"2019-04-19 03:20:00",3,"Swiming",0,0,0,0.7375266799,0,6.0059,-53.8003
